"pathway","pvalue","dist"
"M27428",0.001,1.27997742306747
"M27470",1,Inf
"M27400",0.001,2.96127683590357
"M27712",0.001,1.80653886153586
"M29724",0.002,0.297262805020302
"M27257",0.001,0.951927099068949
"M27702",1,Inf
"M29829",0.038,0.428381748045006
"M27582",0.01,0.884907318461318
"M19752",0.001,0.308044973954926
"M27303",0.001,1.43652324042392
"M27191",0.001,0.943563285626293
"M27244",0.001,0.568966228573597
"M27399",0.001,2.12809659815618
"M549",0.002,2.28783003666387
"M26930",1,Inf
"M669",0.001,1.33893356350322
"M17386",0.001,1.49587836999399
"M27756",0.001,1.20400401228051
"M628",0.001,1.21653188222954
"M27163",0.001,0.304497554556716
"M641",0.001,0.597110697438764
"M994",1,Inf
"M27510",0.001,2.61418032659095
"M4280",0.001,2.00100505870946
"M12123",1,Inf
"M6768",0.001,1.53829304469391
"M29854",0.001,1.35875980691564
"M27297",0.001,1.73471598875278
"M27156",1,Inf
"M26945",1,Inf
"M27129",1,Inf
"M29808",0.355,1.37654335718279
"M11184",0.628,1.39813029189378
"M779",0.001,0.923811192599641
"M525",0.001,1.69928649727601
"M27601",1,Inf
"M39005",0.001,1.02283485364542
"M16597",0.001,2.00993165298765
"M27111",0.062,1.57889221820309
"M27763",0.001,0.827243858142365
"M27309",0.001,1.94569477090746
"M27875",0.001,1.95217078506869
"M27310",0.001,2.98251482595499
"M2158",0.001,0.841213740855805
"M8410",0.001,2.31974011575054
"M13408",0.001,1.19394485085986
"M26928",1,Inf
"M29536",0.973,1.30772646464339
"M27476",0.01,0.262085731604893
"M27343",0.001,3.06677105982908
"M27177",0.008,3.00602655660852
"M27752",0.001,0.769254030363289
"M26969",0.001,0.415217297743294
"M27952",0.002,1.3266262728912
"M19861",0.001,2.03041493821157
"M14663",0.001,2.53073759151284
"M29556",1,Inf
"M27311",0.001,0.782355741235352
"M27686",1,Inf
"M941",0.02,0.10633214040696
"M729",0.001,0.86167075665363
"M27854",0.01,0.115285289546124
"M27651",0.001,0.515779493870734
"M14990",0.001,2.06370815244264
"M27794",0.95,0.0580134018300135
"M27108",0.001,2.62600189089097
"M27589",0.001,1.0382002778111
"M27253",0.001,0.324428934456144
"M839",0.001,0.419238312934795
"M27206",0.001,0.99763318033274
"M1002",0.001,0.442248031866271
"M27308",0.001,0.492593489710562
"M29842",0.001,1.00555914447304
"M41721",0.377,1.82856774007797
"M27097",0.01,0.406508350686444
"M661",0.001,1.25393819265451
"M41724",0.001,1.44036872367485
"M27189",0.001,2.0713485837265
"M27599",1,Inf
"M27544",1,Inf
"M1017",0.01,0.127487772724665
"M29803",0.001,0.713569005350275
"M27317",1,Inf
"M27205",0.001,0.59613098924723
"M27946",0.001,1.94340562324992
"M27940",0.001,2.09928952940131
"M27941",0.001,1.46853905333422
"M27506",1,Inf
"M1009",1,Inf
"M631",0.001,0.419982531280804
"M27101",0.003,0.978270266020238
"M9648",0.001,2.38428470787966
"M27175",0.97,0.0727274498895416
"M13115",0.001,3.07441629393904
"M595",0.001,0.524762182177929
"M2844",0.001,0.430288495437931
"M27938",0.001,0.287170889175372
"M600",0.01,0.138538737435261
"M27649",0.286,0.144088079922879
"M10450",0.001,2.99505410099242
"M1040",0.001,1.09412587591958
"M19312",0.001,1.75247992217069
"M805",1,Inf
"M27207",0.001,1.12942291891538
"M27676",1,Inf
"M927",0.001,2.67847392331539
"M12484",0.092,1.51830030103889
"M532",0.001,1.62062200999884
"M800",0.001,0.244909207925297
"M15243",0.001,2.97079690229033
"M14981",0.001,2.00395968434254
"M26993",0.859,1.01205784963962
"M27698",0.001,0.793436687905394
"M657",0.001,2.34853661203193
"M27820",0.255,0.605165531946408
"M4904",0.001,0.961815975598058
"M27874",0.001,0.956217719600688
"M587",0.996,0.0751336349891688
"M976",0.001,2.55050892336903
"M27076",1,Inf
"M17787",1,Inf
"M27851",0.002,1.71179111022539
"M14309",0.001,1.41565926400541
"M630",0.001,1.50497991036665
"M27028",0.003,2.58107130272537
"M27657",1,Inf
"M11575",0.001,3.03619186941606
"M26972",0.001,0.593206947338947
"M19193",0.001,1.98495889917142
"M27236",0.001,2.08652972255352
"M27247",0.002,1.9390868808693
"M27857",0.001,1.10622420492539
"M26983",0.001,1.82845500337671
"M27352",0.001,2.33435527558221
"M576",0.134,0.812388358342598
"M16523",0.001,1.23076718391409
"M27293",0.001,1.23782232827602
"M26911",0.001,0.278831465259123
"M791",0.001,1.28033334872518
"M519",0.001,1.85886507715589
"M868",0.001,0.231486400615564
"M27840",1,Inf
"M13748",0.001,0.678897684848776
"M27849",1,Inf
"M27672",0.025,0.826601002293409
"M27219",0.001,0.360436202632868
"M27232",0.001,1.34474154286017
"M27570",1,Inf
"M1877",0.001,0.934015935968285
"M1443",0.001,1.42115429302492
"M27059",0.002,2.61718930392693
"M27060",1,Inf
"M41833",0.001,0.554136316271655
"M10775",0.001,1.72565280458294
"M773",0.001,0.572500715835809
"M692",0.001,1.03607946497338
"M27439",0.001,1.97639866306322
"M695",0.001,0.283434518289008
"M507",0.001,0.946171190275524
"M29568",1,Inf
"M636",0.001,1.69758711213345
"M685",0.001,3.07441629393904
"M27497",0.389,0.832180909912489
"M27390",1,Inf
"M27252",0.003,1.33587577014207
"M666",0.001,1.26763492156451
"M660",0.001,1.58763606849408
"M26960",1,Inf
"M27612",1,Inf
"M27255",0.001,1.03174183943056
"M27888",0.001,0.129369334841912
"M27349",0.001,2.9171572903545
"M1003",0.001,2.34450570661471
"M27648",0.001,0.607944876516672
"M27201",0.001,0.304338381018189
"M41830",0.001,1.37136187620018
"M928",1,Inf
"M29816",0.257,0.724916120935363
"M27230",0.001,1.07824643202948
"M1072",0.859,0.938956813528442
"M1015",0.427,1.72274772438878
"M39003",0.001,3.04344874921491
"M27781",1,Inf
"M29617",0.001,1.25501836177332
"M27131",0.001,0.268962223472359
"M706",0.001,0.160677283271467
"M27198",0.001,1.09814596402348
"M6121",0.001,1.80446635936581
"M27933",0.001,2.62348013392171
"M1051",0.003,2.31148134974802
"M29806",0.001,1.62103404671315
"M19381",0.79,0.0874605394484195
"M877",0.001,2.33938447497918
"M8240",0.003,0.210992260593103
"M29805",0.001,0.329487797960029
"M27584",0.002,1.85746801669888
"M715",0.001,0.627603105663819
"M27408",0.001,1.22524624943906
"M29804",0.001,0.251763672391055
"M27383",1,Inf
"M4076",0.01,0.180523512207757
"M27751",0.01,0.117606498687316
"M27858",0.001,2.97337064093664
"M1080",0.001,0.704454033966968
"M27605",0.001,1.96484673092931
"M27894",0.942,0.41980440460723
"M26964",0.001,0.534227987493409
"M18437",0.001,0.296867077663977
"M27893",1,Inf
"M5113",0.001,0.910433783388257
"M14804",0.001,0.424823819859339
"M27897",0.003,2.36626926851504
"M27381",0.835,0.367370536932664
"M27860",1,Inf
"M518",0.001,0.348110276397142
"M5283",0.01,0.122648616582888
"M542",0.001,2.13875738444158
"M1014",1,Inf
"M760",0.001,1.14168704598017
"M27604",0.001,1.9803828311631
"M27873",0.001,1.71286434758701
"M921",0.001,3.06677105982908
"M27594",0.001,2.62699600737189
"M1870",0.001,0.602351256343081
"M14766",0.001,0.949799408203984
"M27467",0.001,0.356648888683013
"M935",0.001,2.97337064093664
"M1012",0.001,1.22283185352903
"M971",0.989,0.463775662005196
"M27464",0.001,1.94394695626258
"M27460",0.079,0.639255924009441
"M965",0.001,0.289235045311924
"M27240",0.001,2.09229469563853
"M1030",0.001,0.762732121372266
"M27577",0.001,2.16042645393294
"M27282",0.057,0.544154002685347
"M27592",0.001,1.78390204783874
"M691",0.001,2.56501703096471
"M859",0.001,2.35722615488152
"M670",0.001,1.88975854598405
"M27706",1,Inf
"M29844",1,Inf
"M899",0.01,0.196898063950129
"M997",0.569,0.212706441528982
"M690",0.001,1.42826512463923
"M42519",1,Inf
"M27846",0.001,1.46427004933315
"M959",0.001,3.00094959014507
"M27115",1,Inf
"M27936",1,Inf
"M27949",0.001,2.41574140963224
"M962",0.001,0.772478138776851
"M29766",0.001,2.2014143068017
"M620",0.001,0.957358818385848
"M27680",0.011,1.33674885881499
"M27780",0.001,1.99794300934837
"M27228",1,Inf
"M27567",0.001,2.3035606316544
"M26916",0.001,1.58944775051158
"M26896",1,Inf
"M15195",0.001,0.788170883300564
"M39011",1,Inf
"M27176",0.007,3.0122275834876
"M39012",1,Inf
"M39013",1,Inf
"M42520",1,Inf
"M7455",0.001,0.378973946221578
"M27901",0.019,1.21180168075092
"M27903",1,Inf
"M41728",0.001,1.24875974304934
"M27640",0.327,0.144088079922879
"M27776",0.002,2.62424692816967
"M27740",0.001,3.0122275834876
"M27775",1,Inf
"M1061",0.001,1.89946043405767
"M1011",0.001,1.56365419377589
"M27644",1,Inf
"M27777",1,Inf
"M27461",0.001,1.39037679408153
"M29836",0.97,0.0604245062919245
"M29689",0.001,0.54204448161001
"M27104",0.716,1.015733551584
"M27855",0.001,1.65010575537195
"M27382",0.001,0.183947285708882
"M27169",1,Inf
"M27102",0.007,1.3879279887035
"M27085",0.001,1.56741034943835
"M27081",0.998,0.799111060232984
"M18795",0.946,1.55469272386758
"M27216",0.001,1.34844051247102
"M914",0.001,0.660820166548885
"M1088",0.001,1.38526517873161
"M18311",0.99,0.132795035158036
"M27622",1,Inf
"M27832",0.01,0.166278374852516
"M26999",0.001,0.245261635976758
"M27543",1,Inf
"M27642",0.001,0.922534803096994
"M26967",0.001,1.0858954300244
"M41838",1,Inf
"M27772",0.001,1.01817324320401
"M27580",0.001,1.48809386401541
"M27424",1,Inf
"M27719",0.001,2.31015817702222
"M27442",0.001,2.63777687879023
"M17034",0.001,0.301493347243404
"M27816",0.001,1.29026790769166
"M712",0.001,1.65308892006479
"M14690",0.001,0.673121273217059
"M15096",0.001,2.55931614205645
"M27418",0.001,0.979927165496345
"M27778",0.001,0.725803226706721
"M29822",1,Inf
"M27661",0.001,1.82111244863234
"M705",0.01,0.095684617003366
"M27928",1,Inf
"M27093",0.998,0.235233738776645
"M27709",1,Inf
"M19582",0.001,2.14911794048702
"M27652",0.001,0.950701317807229
"M26973",0.999,0.252080586349666
"M27160",0.006,1.92814050914964
"M27134",0.001,0.536303360020976
"M27609",0.001,0.299630344369747
"M2881",0.001,1.2058010043021
"M966",1,Inf
"M853",0.001,2.37907049765581
"M27650",0.001,0.457387504640756
"M27954",1,Inf
"M3492",0.001,1.80859417312787
"M979",0.006,1.54795481938251
"M27233",0.001,0.275939770712541
"M27333",1,Inf
"M26997",0.944,1.72274772438878
"M27011",1,Inf
"M7169",0.002,1.30441880857377
"M27764",0.427,1.99680277171125
"M918",0.001,0.853259457554707
"M27251",0.001,0.247523957383649
"M12347",0.001,1.34216608585351
"M529",0.001,0.290837102770696
"M41735",1,Inf
"M27527",0.001,1.8509958746925
"M11187",0.001,0.9805290357846
"M27526",0.001,1.76114353654295
"M27529",0.001,1.8509958746925
"M27528",0.001,1.8509958746925
"M872",0.001,0.136750678388613
"M27944",0.001,1.60745704402168
"M27645",0.001,2.1389771295984
"M27380",1,Inf
"M913",0.001,1.04740082102502
"M27654",0.3,0.0791233596458241
"M27616",0.005,0.9147889622839
"M875",0.001,0.741663470507922
"M16441",0.001,0.916569226048551
"M985",0.001,0.673917236244091
"M27931",1,Inf
"M26914",1,Inf
"M27094",1,Inf
"M27942",0.001,1.97259882352639
"M27472",0.01,0.121918576287615
"M957",0.001,2.70969508904269
"M915",0.003,2.31148134974802
"M29793",0.001,0.999698910459299
"M27089",0.001,1.20444891567522
"M27921",1,Inf
"M4281",0.001,1.11460475444349
"M13015",1,Inf
"M27588",0.001,2.92398509312036
"M27079",0.001,0.692539684087752
"M27210",0.001,1.80669605058221
"M27159",0.001,2.97337064093664
"M27879",0.058,1.35255404050549
"M1005",0.001,1.92966432799774
"M27882",1,Inf
"M752",0.01,0.119833747276274
"M27880",0.001,1.66049848723113
"M735",1,0.0506820730058757
"M977",0.001,0.597124128656159
"M29809",1,Inf
"M27881",0.001,2.65302096170627
"M27482",0.001,0.795110603066014
"M27378",1,Inf
"M7257",0.096,2.11078402110967
"M1059",0.001,0.914033086517757
"M27426",0.001,0.892755268246291
"M42525",0.88,1.01348416077069
"M29777",0.001,0.790809814869577
"M29790",0.001,1.27483465122555
"M11215",1,0.278583586083529
"M27568",0.001,2.94529963278478
"M571",0.065,0.972730743450984
"M29582",0.001,0.281468292142001
"M27560",0.001,0.92656270099415
"M8276",0.02,0.850229519234281
"M27829",0.001,1.03483459289739
"M27859",0.005,2.28590609824354
"M152",0.021,0.34839898379313
"M27831",0.001,1.1406902161756
"M6177",0.001,1.68976587233794
"M27385",0.003,0.828287923113932
"M546",0.001,1.18967235160418
"M10959",0.002,1.21378899935679
"M1441",0.001,2.2941417703962
"M7927",0.01,1.85718362860111
"M27190",0.001,0.931068292151591
"M14582",0.001,2.57361005714431
"M27674",0.001,0.265079872859891
"M27000",0.001,0.701628995923393
"M27579",0.001,0.585065859755915
"M18175",0.001,1.99624194645125
"M27895",0.001,0.444197750373052
"M11773",0.001,2.11537735456637
"M27682",0.009,1.85963525789569
"M777",0.993,0.0594575103206675
"M792",0.001,1.2667185975484
"M29846",1,Inf
"M848",0.92,0.0490883971272595
"M27211",1,0.36297306913426
"M27626",0.181,1.0163308627456
"M1074",0.001,0.291100615045236
"M27455",1,Inf
"M611",0.001,0.774837773394755
"M27835",1,Inf
"M27167",1,Inf
"M27850",1,Inf
"M27737",1,Inf
"M27915",0.001,2.34023303188803
"M738",1,0.423433234792304
"M649",0.96,0.088796288736911
"M2286",0.001,1.27081108902701
"M714",1,Inf
"M9400",1,0.166806947956078
"M27416",0.001,1.12554856615674
"M27655",0.883,1.48772617961415
"M27462",0.001,2.31573641659502
"M27419",0.001,1.57404469050281
"M759",0.001,1.92301053160951
"M27186",0.001,0.34638219652733
"M27841",0.001,1.74205929951996
"M12289",0.001,1.66098805670216
"M27665",0.001,0.468396587425699
"M9450",0.001,1.53786744403331
"M27842",0.001,1.16150168175515
"M26971",0.001,2.32164363410338
"M27822",0.01,0.126600431699788
"M4138",0.002,0.619679887766946
"M924",0.002,1.55353668357161
"M919",0.001,1.63642806568147
"M27847",0.001,1.04354097555774
"M18788",0.001,0.381138257216587
"M1073",0.001,1.79492776868675
"M27587",0.001,1.2169037367317
"M26985",0.001,0.733603684152919
"M614",0.002,1.81598423833919
"M27082",1,Inf
"M19135",0.001,1.90982164853932
"M29819",1,Inf
"M27235",1,Inf
"M916",0.001,0.525345307714901
"M27107",0.001,0.18502584270947
"M27819",0.001,2.62699600737189
"M5485",0.001,0.214638619453179
"M607",0.001,0.678466290145347
"M590",0.001,0.458922156632567
"M27660",0.001,0.238231792333892
"M552",1,Inf
"M10735",0.002,0.833570494673749
"M622",0.001,2.33435527558221
"M27562",1,Inf
"M27782",0.054,1.08870416529821
"M27355",1,Inf
"M27032",0.001,0.560160508871554
"M27617",0.015,0.631926786707973
"M27734",0.002,1.53008721242041
"M27732",1,Inf
"M39007",0.002,0.322877219434015
"M842",0.59,1.63634563982815
"M814",0.001,2.13050400345103
"M10654",1,Inf
"M27673",0.01,0.524758796318815
"M27689",0.001,2.531444372664
"M29838",0.985,0.759982662698556
"M27445",0.001,1.05160008737276
"M41805",0.305,1.13704742444098
"M17157",0.001,0.960830746563671
"M27218",0.001,0.571792368037146
"M27932",0.02,0.150420877882857
"M26917",0.001,1.58062641732277
"M923",0.006,1.74485350668242
"M27955",1,Inf
"M41810",0.51,0.0777396309715855
"M17670",0.099,3.04652397683092
"M38995",0.001,1.37499668603778
"M27872",0.01,0.096664435845227
"M27290",0.003,1.73526659365493
"M29526",0.001,2.09535614281189
"M27789",0.006,1.85750122404389
"M27590",0.006,2.17918641576223
"M27212",0.001,0.862645317273279
"M4862",1,Inf
"M27326",1,Inf
"M2661",1,Inf
"M41834",0.001,1.90378200728042
"M713",0.001,0.807777098580852
"M1029",0.001,1.83542374550541
"M27771",0.001,0.356697599167823
"M41819",0.178,0.225242577430809
"M27348",1,Inf
"M41811",0.01,0.226031997112065
"M27376",1,Inf
"M27215",0.001,0.161635137249053
"M17541",0.001,1.88393962861316
"M26924",1,Inf
"M27945",0.091,1.68589237567027
"M14966",1,Inf
"M27950",0.001,2.29102523255793
"M982",0.001,2.53073759151284
"M942",0.026,1.94600122692889
"M783",0.001,2.17773977718996
"M27229",0.001,2.08652972255352
"M27939",0.001,2.94522470282535
"M537",0.001,2.15392247913397
"M41804",0.001,0.51093884064712
"M27557",0.001,1.65267935933616
"M29565",0.996,0.0657940737212266
"M27814",1,Inf
"M27900",0.001,0.715208334555183
"M716",0.001,2.35860776734016
"M27001",0.001,0.794148895453261
"M27572",0.001,0.389742287047017
"M29583",0.001,2.9749844678741
"M27231",0.001,0.13811940718287
"M27250",0.001,0.836851794748821
"M891",0.001,0.492733889970358
"M748",1,Inf
"M27571",0.6,1.37711069370296
"M27638",1,Inf
"M27556",0.001,0.815861715061749
"M41832",0.09,0.846564633336794
"M27788",0.001,2.64320631594742
"M27639",0.001,1.41204966536051
"M29807",0.001,1.99748646791608
"M27646",0.38,0.0932565618246955
"M26977",0.002,2.08205642700974
"M6467",0.001,0.18733837259482
"M27402",0.001,3.0122275834876
"M903",0.001,2.610476117246
"M490",0.001,0.631811406847965
"M29832",0.004,2.56501703096471
"M27779",0.001,0.285076978383017
"M27641",0.014,0.497840311547887
"M27541",1,Inf
"M29824",0.033,1.06696644676237
"M27742",0.001,0.374941202131696
"M27637",0.001,1.45965622965302
"M29612",1,Inf
"M27498",0.99,0.0506546743369443
"M27285",0.002,0.186128981927484
"M27815",0.085,0.855812722957535
"M27809",0.014,1.60878969364752
"M724",0.01,0.110906373897308
"M10122",0.001,3.00885589712611
"M671",1,Inf
"M27490",0.002,3.00602655660852
"M27551",1,Inf
"M27437",0.001,1.67837325824539
"M27489",0.001,2.02664675250479
"M27553",0.001,1.28240966754087
"M41806",1,0.0948718747039015
"M41818",0.989,0.876386922875192
"M27746",0.001,1.08406802715714
"M41734",1,Inf
"M676",0.001,0.275605796547936
"M27491",0.001,0.736917427390283
"M27494",0.001,1.91070345247801
"M41723",0.001,1.05171623568763
"M27493",0.001,2.05085463468373
"M41738",0.001,0.690724971646641
"M41822",0.972,0.467775240191035
"M41821",1,Inf
"M41812",1,0.361771761225773
"M41814",0.99,0.51091824038279
"M41807",0.967,0.221452262256377
"M776",0.001,0.74652351159613
