"pathway","pvalue","dist"
"M26996",0.001,0.0177986839021952
"M970",0.001,0.0167650760856454
"M27947",0.562,0.0188247383071203
"M703",0.72,0.0124076180074907
"M592",0.001,0.00386795369857659
"M524",0.084,0.0182212358954959
"M643",0.035,0.00918191012618886
"M27146",0.001,0.0173065987109978
"M700",0.542,0.0188247383071203
"M702",0.776,0.0094217068257046
"M1825",0.001,0.0166955428877487
"M27449",0.001,0.0171737663082428
"M975",0.001,0.00591043001288119
"M708",0.001,0.0136437143539279
"M27213",0.628,0.0187552051092236
"M18193",0.122,0.00850167555072124
"M26902",0.006,0.00645120237557869
"M3862",0.001,0.00457844672761411
"M11980",0.009,0.00474121378758269
"M26976",0.001,0.00156365126350324
"M27292",0.523,0.0188247383071203
"M811",0.012,0.0146776383426512
"M17243",0.001,0.00751209415714182
"M17814",0.001,0.0021053012272415
"M27948",0.001,0.00235176312479126
"M10679",0.001,0.0136437143539279
"M42522",0.81,0.00760510211735527
"M27161",0.045,0.0122334105220462
"M27114",0.001,0.0172990452993731
"M188",0.843,0.0193587075208481
"M11153",0.001,0.00660491995037873
"M1018",0.414,0.0124395314045885
"M27627",0.001,0.00154153921280606
"M9990",0.001,0.0104025965897439
"M601",0.001,0.00265565662140294
"M27172",0.002,0.00136156965858782
"M1062",0.001,0.00391716095114331
"M29837",0.001,0.00687603859810193
"M27958",0.002,0.00140228430627094
"M26909",0.03,0.00321158783616881
"M27836",0.047,0.0122014971249483
"M27140",0.001,0.00158327010082986
"M495",0.001,0.000608452789503235
"M920",0.003,0.00996469139259958
"M27839",1,0.0121376703307527
"M2341",0.001,0.000502856350747777
"M27033",0.211,0.0168034184734948
"M27934",0.001,0.00221026871170059
"M801",0.492,0.0193587075208481
"M794",0.505,0.0193587075208481
"M27700",0.107,0.0121695837278505
"M796",0.397,0.00853924339236612
"M4974",0.009,0.00412039832265778
"M27481",0.028,0.0170483268327791
"M27722",0.001,0.0177986839021952
"M3871",0.001,0.00172820854564609
"M26904",0.553,0.0188247383071203
"M27298",0.001,0.0102906187197774
"M27725",0.596,0.0187552051092236
"M27254",0.001,0.00362721278083624
"M27889",0.001,0.00911703632224867
"M26943",0.001,0.0164448244211547
"M27086",0.001,0.00841434704652387
"M499",0.036,0.00218833973145036
"M10320",0.04,0.000220763368302853
"M27738",0.518,0.00911703632224867
"M934",0.999,0.00894601298446508
"M27828",0.001,0.00764703194512224
"M27098",0.164,0.00933424537791682
"M26947",0.011,0.0165143576190514
"M897",0.001,0.00109390494109967
"M866",0.675,0.0126775656842286
"M749",0.001,0.00265282570426636
"M907",0.001,0.00328694358826659
"M27339",0.001,0.0121376703307527
"M3634",0.067,0.00263346204372623
"M27152",0.001,0.00066271258308965
"M29839",0.538,0.00926937157397663
"M17694",0.001,0.00104793956228543
"M27454",0.001,0.000972744415093814
"M27434",0.028,0.00490874870607867
"M27473",1,0.00495969392778732
"M41809",0.01,0.00016183080410871
"M13897",0.001,0.00740744312429982
"M758",1,0.00173433822115312
"M27485",0.001,0.00278018253892914
"M27480",0.001,0.002357327366261
"M820",0.001,0.00161890633695987
"M840",0.002,0.00236598611601876
"M27321",0.816,0.00202116882010834
"M27708",0.001,0.016272990894448
"M27379",0.351,0.00928761107600144
"M902",0.815,0.0193587075208481
"M27619",0.67,0.0124076180074907
"M26991",0.001,0.0177772687198672
"M29830",0.001,0.0012170571190523
"M27103",0.001,0.00132211117211793
"M11725",0.001,0.00201350959907438
"M27838",0.007,0.0113259034419106
"M19832",0.001,0.000430082351532045
"M27937",0.001,0.00691441948573807
"M678",0.003,0.00465894638823764
"M27935",0.01,6.70754320290987e-05
"M797",0.002,0.0112196672914874
"M18334",0.14,0.00830576072003057
"M27466",0.001,0.0115456945886828
"M27542",0.523,0.0188247383071203
"M27087",0.131,0.0182907690933926
"M1030",1,0.00303672963699404
"M29840",0.003,0.000468248612113382
"M29689",0.082,0.00213510240986329
"M17879",0.009,0.00406673973186112
"M938",0.001,0.000898695568134223
"M27182",0.001,0.0173065987109978
"M19248",0.001,0.000403413629744347
"M27166",0.001,0.0177986839021952
"M2158",0.013,0.00289170416951684
"M16227",0.001,0.00498737711441097
"M784",0.908,0.00440038064102551
"M27591",0.047,0.00891440958238906
"M15303",0.01,6.04351348080675e-05
"M29814",0.01,0.0161637964749598
"M2843",0.001,0.000275735752973622
"M29701",0.001,0.01355857345282
"M559",0.001,0.00684886221522313
"M27681",0.846,0.00972637732916053
"M27096",0.266,0.0124714448016863
"M27558",0.001,0.00217875451975055
"M1078",0.011,0.0099596912335619
"M27812",0.004,0.0063547628587874
"M837",0.001,0.00706150098332417
"M26926",0.786,0.0188247383071203
"M27163",0.001,0.00171898465695181
"M27656",1,0.00561001148072887
"M27164",0.001,0.00712086888773266
"M8245",0.018,0.0142481294261415
"M27113",0.979,0.00803129655371919
"M651",0.472,0.00928761107600144
"M41837",0.02,0.000120053052243888
"M26953",0.014,0.00118165228988391
"M26907",0.001,0.00488365139591996
"M808",0.001,0.00501279834855949
"M27818",0.001,0.00277219302262443
"M641",0.992,0.00141952326141113
"M5650",0.003,0.002313315882902
"M16289",0.792,0.00760510211735527
"M27193",0.001,0.0140368238565271
"M6591",0.538,0.0188247383071203
"M889",0.01,0.00958717439191429
"M29724",0.002,0.000633424639066701
"M27272",0.001,0.00335197136505536
"M512",0.001,0.00129438431028718
"M29619",0.01,4.97055111272297e-05
"M751",0.009,0.00262657890567319
"M27483",0.001,0.0177291507042985
"M27258",0.001,0.0139884923405886
"M27151",0.012,0.0127818142413275
"M27171",0.001,0.0127818142413275
"M1070",0.04,7.72351582800741e-05
"M17386",0.001,0.0301995356924746
"M27263",0.001,0.0157176064983923
"M39001",0.589,0.0187552051092236
"M42527",0.002,0.00173937183816792
"M27248",0.001,0.0110777698020918
"M13492",0.011,0.00639840109780463
"M27188",0.001,0.00019213133011074
"M27243",0.001,0.00678257740918854
"M27752",0.996,0.00120544916043004
"M38996",0.021,0.00596008965009711
"M26982",1,0.0151795513142693
"M26981",0.001,0.00852004799633646
"M27360",0.003,0.00861864658523347
"M27674",0.993,0.000796903259190194
"M27046",0.001,0.000342568133236153
"M27227",0.06,0.0183326531159229
"M19752",0.003,0.000233832592230214
"M27400",0.024,0.0145641523264384
"M27468",0.001,0.00583536756388344
"M27274",0.001,0.00451545692252666
"M27546",0.001,0.00335186976794724
"M27303",0.006,0.00613628326457013
"M29854",0.001,0.00765293589596013
"M27257",0.001,0.00307160021718002
"M27465",0.956,0.00205260534757498
"M27554",0.01,0.000271984248121334
"M16312",0.003,0.000147078519307765
"M27563",1,0.00669287228458054
"M27428",0.001,0.00361425521571723
"M27712",0.004,0.00718852466861403
