"pathway","pvalue","dist"
"M26996",0.002,0.128051433501781
"M524",0.078,0.12666994447611
"M703",0.718,0.0853481958380596
"M700",0.569,0.130267858722125
"M702",0.778,0.0653233678360557
"M643",0.126,0.0657720066994561
"M708",0.001,0.101854771719634
"M970",0.001,0.119798462732597
"M27449",0.001,0.119427514769283
"M27213",0.631,0.126633594192635
"M592",0.001,0.0291754675492153
"M1825",0.001,0.116164198203108
"M811",0.001,0.107252708871564
"M27947",0.554,0.130267858722125
"M27146",0.001,0.125798657997962
"M975",0.002,0.0431563149960573
"M26902",0.005,0.0488223444465348
"M3862",0.001,0.0340718373762858
"M18193",0.027,0.0624386274636234
"M10679",0.001,0.101854771719634
"M11980",0.007,0.0351950180595422
"M188",0.834,0.13023150843865
"M42522",0.873,0.0535606236527993
"M17814",0.003,0.0158347715130625
"M17243",0.001,0.0569496596911259
"M27114",0.001,0.119762112449122
"M26976",0.001,0.0119411000656214
"M27948",0.001,0.017832980416123
"M27292",0.532,0.130267858722125
"M27627",0.003,0.0114698849416906
"M27161",0.563,0.0888491541112481
"M11153",0.001,0.0507248855112791
"M9990",0.002,0.0758477595461941
"M1062",0.002,0.029702159268178
"M27172",0.003,0.0104471347845326
"M1018",0.434,0.0870705504255757
"M29837",0.001,0.0523216904365838
"M26909",0.026,0.0237154926236116
"M27958",0.003,0.0106252667354363
"M601",0.001,0.0204621511029023
"M27836",0.152,0.0871267995237319
"M2341",0.001,0.0037868095188015
"M495",0.001,0.00459037772972486
"M27839",1,0.0836820903486996
"M920",0.003,0.0749878389732268
"M801",0.511,0.13023150843865
"M27140",0.005,0.011531075813804
"M27033",0.039,0.118239185149239
"M794",0.517,0.13023150843865
"M27934",0.001,0.0166201918841501
"M796",0.041,0.0606415444815995
"M27254",0.002,0.0277215248151974
"M27481",0.004,0.119035747601779
"M27700",0.117,0.0854044449362157
"M4974",0.412,0.0302059835231142
"M27722",0.001,0.128051433501781
"M27725",0.624,0.126633594192635
"M3871",0.001,0.0134463890382028
"M26904",0.547,0.130267858722125
"M27889",0.001,0.0634088699921174
"M27298",0.001,0.0755127381042909
"M758",1,0.0125921309100565
"M27473",1,0.0364374902625604
"M499",0.64,0.015834902458249
"M27086",0.001,0.0624006407742772
"M10320",0.05,0.00163800872100704
"M27738",0.482,0.0634088699921174
"M26943",0.001,0.115437833355764
"M27828",0.001,0.0568177340212883
"M934",0.799,0.0631096206378153
"M26947",0.012,0.119072097885254
"M866",0.676,0.0870143013274196
"M27098",0.372,0.0667292556214252
"M3634",0.523,0.0194728506777608
"M907",0.001,0.0249881202099148
"M27434",0.016,0.036199044248199
"M27152",0.001,0.00493354951580082
"M897",0.001,0.00816460974483095
"M749",0.001,0.019804525921185
"M27339",0.001,0.0836820903486996
"M17694",0.004,0.00802292511520037
"M29839",0.588,0.0643661189140865
"M27454",0.001,0.00734248775737109
"M41809",0.001,0.00120857997323249
"M27321",0.42,0.0150372998999374
