"pathway","pvalue","dist"
"M970",0.001,0.0164977733685085
"M1825",0.021,0.0170038049411748
"M702",0.672,0.00954984430445406
"M703",0.001,0.0127065657831381
"M700",0.001,0.018503274275703
"M27146",0.001,0.0169149750613043
"M643",0.001,0.00915562069734672
"M26996",0.001,0.0174418362157516
"M524",0.001,0.0184747289428654
"M27449",0.001,0.0174294012435518
"M27947",0.001,0.018503274275703
"M17814",0.001,0.0020766052676731
"M975",0.001,0.00579407499570003
"M26976",0.001,0.00152876306365625
"M592",0.001,0.0037863842515575
"M27213",0.001,0.0190093058483694
"M27948",0.001,0.00232306046728766
"M26902",0.002,0.00634520136736459
"M18193",0.101,0.00835749274753036
"M11980",0.02,0.00467357878931167
"M17243",0.001,0.00743698960730278
"M811",0.029,0.0145217730818724
"M42522",0.054,0.00756803239729726
"M10679",0.001,0.013615004732178
"M708",0.001,0.013615004732178
"M27114",0.023,0.0170323502740125
"M27292",0.001,0.018503274275703
"M3862",0.001,0.00449458228213375
"M27161",0.001,0.0120168684684362
"M188",0.57,0.019037851181207
"M27172",0.001,0.00134271972496899
"M11153",0.001,0.00660727263128361
"M1018",0.084,0.0124809267917986
"M9990",0.001,0.010235850888578
"M27627",0.001,0.00152427025196272
"M1062",0.001,0.00385862255302184
"M29837",0.001,0.00685913836547306
"M601",0.002,0.00263747450957682
"M26909",0.057,0.00317639781790816
"M27958",0.001,0.00138102488483863
"M27836",0.001,0.0122425074597757
"M27140",0.001,0.00160263341151047
"M495",0.001,0.000597684469387296
"M920",0.003,0.00986197700902608
"M27033",0.22,0.0166075169917552
"M27839",1,0.0126937854424547
"M794",0.001,0.019037851181207
"M27934",0.001,0.00218449341787904
"M801",0.001,0.019037851181207
"M2341",0.001,0.000494064048355566
"M796",0.968,0.00884991200174503
"M27700",0.001,0.0124681464511152
"M27481",0.04,0.0168069621047441
"M4974",0.001,0.00407463828808749
"M27722",0.001,0.0174418362157516
"M27298",0.001,0.0101352127639423
"M27725",0.001,0.0190093058483694
"M3871",0.001,0.0017235132849285
"M27254",0.004,0.0035992613366579
"M26904",0.001,0.018503274275703
"M27889",0.001,0.00953541324049047
"M10320",0.04,0.00021875004204302
"M26943",0.002,0.0167784167719064
"M27086",0.001,0.00823466902349902
"M499",0.001,0.00218978723355328
"M27738",0.496,0.00953541324049047
"M934",0.999,0.00882502468413414
"M27098",0.001,0.00916283622932852
"M27828",0.001,0.00753856034545759
"M26947",0.007,0.0162723851992401
"M749",0.002,0.00262380965603884
"M866",0.001,0.0127193461238215
"M897",0.001,0.00108324392177925
"M907",0.001,0.00325269464066821
"M17694",0.001,0.00103580132533719
"M758",0.997,0.00173967465692838
"M27152",0.001,0.000652337383313042
"M27454",0.001,0.00095863414478972
"M27339",0.001,0.0126937854424547
"M3634",0.019,0.00260894242704936
"M29839",0.063,0.00954262877247226
"M27434",0.023,0.00488188222779711
"M27473",1,0.00490846974567887
"M41809",0.01,0.000159380580309761
"M27480",0.001,0.00231881717093333
"M13897",0.001,0.00733211054310314
"M27485",0.001,0.00274861485718553
"M27321",0.975,0.00200849089328268
"M820",0.001,0.0015920814932214
"M840",0.001,0.00232673210031719
"M27379",0.049,0.00941549911956123
"M27708",0.001,0.0159709122140611
"M902",0.561,0.019037851181207
"M27103",0.003,0.00130926537436489
"M29830",0.001,0.00122401402022291
"M27619",0.108,0.0127065657831381
"M27838",0.002,0.0110791121696195
"M26991",0.001,0.0174579465763894
"M27937",0.001,0.00688775509219226
"M18334",0.183,0.00820617507599938
"M11725",0.001,0.0020042847278902
"M19832",0.001,0.000422693964245664
"M797",0.038,0.0115777201818286
"M678",0.053,0.00469392697641815
"M27466",0.001,0.0113144942792437
"M27542",0.001,0.018503274275703
"M27935",0.01,6.64422133451987e-05
"M27087",0.001,0.017968697370199
"M938",0.001,0.000884737539352265
"M1030",1,0.00297891488990535
"M2158",0.012,0.00290252805806402
"M29840",0.003,0.000465736310374411
"M17879",0.003,0.00400653594522792
"M784",0.907,0.00435364650246806
"M27182",0.001,0.0169149750613043
"M29689",0.097,0.00214519829673261
"M27591",0.061,0.00894098755243073
"M27166",0.001,0.0174418362157516
"M19248",0.001,0.000397271525186929
"M16227",0.001,0.00503122401221296
"M15303",0.02,5.95943887814218e-05
"M29814",0.008,0.0159749775696253
"M2843",0.004,0.000271945291976727
"M29701",0.001,0.013535285213471
"M559",0.001,0.00683365240197382
"M27681",0.842,0.00956427536841765
"M27096",0.001,0.0122552878004591
"M27558",0.001,0.00216861634295874
"M1078",0.01,0.00985626418834914
"M27812",0.007,0.0063919523147621
"M8245",0.009,0.0141771828023033
"M26926",0.001,0.018503274275703
"M27656",1,0.00554082435530476
"M837",0.001,0.00703148884900441
"M27164",0.001,0.00697309790030033
"M27163",0.001,0.00171419428316185
"M651",0.001,0.00941549911956123
"M641",0.985,0.00139753174869223
"M26953",0.014,0.0011643098606943
"M41837",0.02,0.000118455931709801
"M808",0.001,0.00491806907594653
"M26907",0.001,0.00479622574226758
"M5650",0.001,0.0022914758763339
"M27818",0.001,0.00272420890052986
"M27193",0.001,0.0139812577690516
"M29619",0.01,4.93204460799436e-05
"M27113",0.977,0.00790905654873131
"M16289",0.029,0.00756803239729726
"M889",0.005,0.00952198522410961
"M6591",0.001,0.018503274275703
"M29724",0.001,0.000624016573682046
"M512",0.001,0.00127578798760452
"M27483",0.001,0.017947867788418
"M751",0.001,0.00262960282563024
"M27272",0.001,0.0032898084206752
"M27258",0.001,0.0139359535265941
"M27188",0.001,0.000189570174761317
"M27151",0.001,0.0128348731523588
"M27171",0.001,0.0128348731523588
"M26982",0.995,0.0149839828236728
"M27263",0.001,0.0154524456691949
"M17386",0.001,0.0301975559759241
"M27248",0.001,0.0108475021996754
"M39001",0.001,0.0190093058483694
"M42527",0.001,0.0017113846950927
"M27752",0.993,0.00118688547197458
"M1070",0.04,7.65033690015027e-05
"M27243",0.001,0.00663546669259177
"M38996",0.01,0.00590821115809695
"M26981",0.001,0.00849454744571353
"M13492",0.006,0.00643388366035516
"M27674",1,0.000785818013580455
"M27046",0.001,0.000338595830399005
"M27360",0.002,0.00846690883617044
"M19752",0.004,0.000231767440246531
"M27563",1,0.00655174386338026
"M27468",0.001,0.0057918096292525
"M16312",0.004,0.000145747918816206
"M27227",0.001,0.0179764131212557
"M27303",0.001,0.00609842241505923
"M27546",0.001,0.00333467440304516
"M27465",0.988,0.00202404410870879
"M27274",0.003,0.00442459059291282
"M27554",0.01,0.000269639213722621
"M29854",0.001,0.00754490981575145
"M27400",0.019,0.0144331924079613
"M27244",0.001,0.000605549677246406
"M27257",0.001,0.00305545705513757
