"pathway","pvalue","dist"
"M26996",0.017,0.197308716556583
"M524",0.362,0.189780698307209
"M643",0.374,0.101640317718044
"M27146",0.026,0.195585807124022
"M811",0.001,0.178915202826025
"M970",0.001,0.19032707826056
"M702",0.778,0.0996116156188459
"M703",0.735,0.128442925182651
"M1825",0.001,0.181076150578625
"M27947",0.537,0.19939993128451
"M27449",0.001,0.183721418358649
"M11980",0.005,0.0577432536893254
"M700",0.546,0.19939993128451
"M975",0.059,0.0690834431296929
"M3862",0.005,0.0567278402907184
"M18193",0.008,0.10033826483703
"M27213",0.604,0.190149003602575
"M27292",0.539,0.19939993128451
"M26902",0.001,0.0797238460770213
"M592",0.007,0.046714059028188
"M17243",0.001,0.0952233472839344
"M10679",0.001,0.173845291415114
"M26976",0.002,0.0192975537188978
"M17814",0.001,0.0258086359111236
"M27948",0.001,0.0303551683856561
"M27114",0.001,0.190695383555927
"M708",0.001,0.173845291415114
"M42522",0.85,0.0830153944533305
"M27161",0.462,0.137116788579687
"M27627",0.037,0.0183400477446014
"M1062",0.001,0.04963398440779
"M188",0.85,0.199768236579876
"M11153",0.001,0.0892588475939336
"M1018",0.7,0.132848959352919
"M9990",0.001,0.126069109553408
"M26909",0.034,0.0379388175519285
"M29837",0.001,0.0910320520580924
"M27836",0.391,0.132710754409419
"M601",0.001,0.03506144887393
"M27839",1,0.123898686068884
"M794",0.512,0.199768236579876
"M27140",0.135,0.0179336488110975
"M27958",0.001,0.0173826689700881
"M2341",0.001,0.00619223373216027
"M27934",0.001,0.0272559295851857
"M801",0.504,0.199768236579876
"M27033",0.001,0.188806099905703
"M27172",0.001,0.0175197644553088
"M796",0.001,0.0934252929943828
"M920",0.001,0.124692432893738
"M3871",0.001,0.023599569943573
"M495",0.001,0.00750548947573921
"M27700",0.181,0.128304720239152
"M27254",0.001,0.0477653315188431
"M4974",0.483,0.0472778525912269
"M27725",0.62,0.190149003602575
"M27722",0.046,0.197308716556583
"M27481",0.001,0.190403883313579
"M26904",0.538,0.19939993128451
"M27298",0.001,0.1259299875819
"M27889",0.001,0.0943332399112724
"M499",0.858,0.0247631106523077
"M26943",0.001,0.180784650336277
"M10320",0.04,0.00263357567610556
"M27086",0.001,0.100357515329055
"M934",0.158,0.100982205393298
"M27738",0.507,0.0943332399112724
"M17694",0.001,0.0137197251643861
"M27103",0.001,0.0171986536161082
"M749",0.001,0.0319911856466386
"M27828",0.001,0.0956734372075968
"M897",0.001,0.0131312503525601
"M27152",0.001,0.00799868346912141
"M26947",0.001,0.190035578018213
"M3634",0.545,0.0305312991506263
"M907",0.001,0.0430516311206387
"M27434",0.004,0.0580065162911448
"M27473",1,0.058282735183497
"M866",0.672,0.132987164296419
"M27098",0.579,0.10427950557183
"M27321",0.023,0.0243001741876813
"M27454",0.001,0.0117923549421355
"M758",1,0.0198138470293625
"M29839",0.597,0.0969724277650591
"M41809",0.001,0.00193884704495893
"M27485",0.001,0.0339771558870038
"M27339",0.001,0.123898686068884
"M27708",0.001,0.188604168828
"M820",0.001,0.0203291684042879
"M13897",0.001,0.0942406013618457
"M840",0.003,0.0293247279472468
"M27480",0.001,0.0280313178498155
"M27619",0.758,0.128442925182651
"M902",0.846,0.199768236579876
"M27379",0.676,0.0995426616430893
"M26991",0.001,0.19334065133595
"M27838",0.006,0.132634280116582
"M797",0.001,0.122899688710347
"M27937",0.001,0.0913498998093926
"M678",0.001,0.0554609284956401
"M29830",0.001,0.0173663775259525
"M2843",0.004,0.00356381348395111
"M18334",0.014,0.0988960891809501
"M27935",0.001,0.000893951821569004
"M11725",0.001,0.0272071603294911
"M27466",0.001,0.133448066163527
"M19832",0.947,0.00508169789907448
"M784",0.031,0.0556273128385211
"M27542",0.547,0.19939993128451
"M27087",0.344,0.199031625989144
"M27182",0.024,0.195585807124022
"M29689",0.055,0.0287114846336282
"M1030",0.999,0.0376137959014574
"M938",0.001,0.011040863840673
"M17879",0.012,0.0502100686550875
"M27166",0.047,0.197308716556583
"M29840",0.001,0.00614447685845587
"M16227",0.001,0.0700646938159102
"M19248",0.001,0.00520294681548632
"M2158",0.001,0.0404395847599291
"M641",0.975,0.0178083925159698
"M27591",0.001,0.117239671273317
"M29814",0.001,0.187536588707717
"M29701",0.001,0.173570422216429
"M29619",0.001,0.000664712481525609
"M559",0.001,0.0908583959216167
"M27096",0.651,0.137254993523187
"M1078",0.002,0.124281874431091
"M27681",0.841,0.104889991326419
"M27558",0.001,0.0293674499919729
"M15303",0.02,0.000779214525187702
"M27163",0.001,0.0235823780290194
"M26953",0.013,0.0150745017947298
"M837",0.001,0.0922962161310419
"M26926",0.802,0.19939993128451
"M8245",0.001,0.177843963231529
"M27656",0.758,0.0673917812077375
"M27812",0.001,0.0875565735778344
"M27164",0.16,0.0836512803985858
"M651",0.785,0.0995426616430893
"M26907",0.003,0.0588194615059849
"M808",0.007,0.0594834264377943
"M5650",0.397,0.0266294682007923
"M27113",0.115,0.0980476200171249
"M27818",0.001,0.0343010928465545
"M16289",0.826,0.0830153944533305
"M27193",0.001,0.176041551426291
"M6591",0.555,0.19939993128451
"M41837",0.02,0.0015165722424696
"M29724",0.001,0.00820308362820709
"M512",0.001,0.0159759376608726
"M27188",0.001,0.00242092367764399
"M889",0.001,0.122486274861152
"M27483",0.001,0.188057788874648
"M27272",0.001,0.0411988797154958
"M751",0.001,0.0344987089370542
"M27258",0.001,0.175982061922664
"M27171",0.001,0.168524787375327
"M27151",0.001,0.168524787375327
"M27263",0.001,0.184267798312
"M39001",0.617,0.190149003602575
"M17386",0.001,0.0402625172813354
"M42527",0.538,0.0206079338294942
"M27674",0.989,0.0101561972740239
"M26982",0.027,0.181869383842615
"M27248",0.001,0.130593129794312
"M27465",0.959,0.0264075061586484
"M38996",0.076,0.0686305650813358
"M27243",0.001,0.0814916590297297
"M26981",0.001,0.0982598592541003
"M1070",0.03,0.00102126086686502
"M27046",0.001,0.00449136395048533
"M27360",0.001,0.10168619603923
"M13492",0.001,0.0878164122328808
"M27752",0.99,0.0155033016792381
"M27227",0.1,0.197677021851949
"M19752",0.001,0.00312448684980201
"M16647",0.001,0.000428331780150706
"M29854",0.014,0.0951174441852808
"M27468",0.003,0.0675457061120291
"M27400",0.001,0.178786691240235
"M27274",0.148,0.0532375031993718
"M27303",0.396,0.0687882250022712
"M27257",0.001,0.0389948951659104
"M27554",0.02,0.00326416468894195
"M27546",0.353,0.0380039505953331
"M27428",0.001,0.0443203847244259
"M27470",0.001,0.343472514704543
"M27563",1,0.0807202903102302
"M27712",0.126,0.0822774187166819
"M27191",0.004,0.038532012142303
"M39005",0.001,0.077229725769342
"M16312",0.004,0.00185820170487956
"M27702",0.63,0.190149003602575
"M29829",0.377,0.0110942766195703
"M27244",0.001,0.00824751795244195
"M27275",0.001,0.00695470599190627
"M549",0.041,0.1029584231793
"M26930",0.035,0.195585807124022
"M27756",0.001,0.0337942998595374
"M27698",0.001,0.0362623402231419
"M27589",0.052,0.0397599641262144
"M669",0.001,0.0311488623019146
"M550",0.004,0.00445340896822006
"M628",0.001,0.0349555200738127
"M27510",0.001,0.177324965619536
"M27079",0.995,0.0338352825528677
"M779",0.002,0.0158873752407521
"M6768",0.001,0.19334065133595
"M4280",0.001,0.101302670935206
"M12123",0.923,0.0812523629353036
"M27763",0.001,0.0167792786579589
"M27156",0.023,0.195585807124022
"M29808",0.004,0.078490248604043
"M16597",0.002,0.0771958083181878
"M11184",0.964,0.0603306225930835
"M525",0.001,0.123898686068884
"M522",0.001,0.00167845345423015
"M27111",0.828,0.104752083374906
"M26969",0.001,0.00864324164227676
"M27697",0.77,0.00217336427351776
"M27310",0.001,0.184852983868911
"M27309",0.001,0.0645445992540099
"M27875",0.001,0.0971915171100256
"M27574",0.04,0.000764691727745339
"M29536",0.81,0.0594494618805558
"M19861",0.001,0.0921470653647689
"M8410",0.001,0.188312668585652
"M13408",0.001,0.0591153438188554
"M27476",0.93,0.00628276813726364
"M26928",0.795,0.104752083374906
"M27311",0.001,0.0186343897779735
"M27651",0.026,0.0102176717479463
"M27665",0.978,0.0141620183636713
"M868",0.014,0.00383875118627257
"M27952",0.003,0.0555096992250681
"M1002",0.95,0.00600027677843159
"M14663",0.001,0.126069109553408
"M29582",0.992,0.013376190444481
"M27308",0.001,0.0126395931914901
"M595",1,0.0116735319603041
"M27253",0.98,0.00694980955721575
"M27582",0.997,0.0182697431687522
"M729",0.001,0.0317941709758602
"M27854",0.21,0.00209209546388596
"M14804",0.003,0.0135459193727035
"M587",0.002,0.00171248736084871
"M27686",0.001,Inf
"M27108",0.001,0.187536588707717
"M27753",0.6,0.00685900194678277
"M27206",0.004,0.0251938654417908
"M941",0.001,0.00271866381682779
"M661",0.001,0.0466040143672701
"M29842",0.001,0.0304186978348864
"M41721",0.138,0.0605131527839478
"M839",0.011,0.00568752182837022
"M41724",0.001,0.0423981070722121
"M15434",0.07,0.00144414744807298
"M27189",0.041,0.197308716556583
"M27205",0.001,0.0181870718051703
